0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:25:54 +0700] "GET /Project/gioHangController HTTP/1.1" 200 7336
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:21 +0700] "POST /Project/xoaController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:21 +0700] "GET /Project/gioHangController HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:31 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:31 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:31 +0700] "GET /Project/matHangController?maGiay=3 HTTP/1.1" 200 4499
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:35 +0700] "POST /Project/gioHangController?maGiay=3&tenGiay=Adidas%20Alphabounce%20Beyond%20Grey&gia=900000&anh=Giay/a5.png&mauGiay=X%C3%A1m HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:35 +0700] "GET /Project/gioHangController HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:36 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:36 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:37 +0700] "GET /Project/matHangController?maGiay=4 HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:38 +0700] "POST /Project/gioHangController?maGiay=4&tenGiay=Adidas%20Alphabounce%20Beyond%20Black&gia=800000&anh=Giay/a6.png&mauGiay=%C4%90en HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:38 +0700] "GET /Project/gioHangController HTTP/1.1" 200 7337
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:55 +0700] "POST /Project/xoaController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:55 +0700] "GET /Project/gioHangController HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:59 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:26:59 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:00 +0700] "GET /Project/matHangController?maGiay=4 HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:01 +0700] "POST /Project/gioHangController?maGiay=4&tenGiay=Adidas%20Alphabounce%20Beyond%20Black&gia=800000&anh=Giay/a6.png&mauGiay=%C4%90en HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:01 +0700] "GET /Project/gioHangController HTTP/1.1" 200 5686
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:02 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:02 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:04 +0700] "GET /Project/matHangController?maGiay=8 HTTP/1.1" 200 4489
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:04 +0700] "POST /Project/gioHangController?maGiay=8&tenGiay=Yeezy%20Boost%20350%20V2%20Sesame&gia=380000&anh=Giay/a10.png&mauGiay=%C4%90%C3%A0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:04 +0700] "GET /Project/gioHangController HTTP/1.1" 200 7333
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:05 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:05 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:06 +0700] "GET /Project/matHangController?maGiay=7 HTTP/1.1" 200 4499
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:07 +0700] "POST /Project/gioHangController?maGiay=7&tenGiay=Adidas%20Prophere%20Triple%20White&gia=597000&anh=Giay/a9.png&mauGiay=Tr%E1%BA%AFng HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:07 +0700] "GET /Project/gioHangController HTTP/1.1" 200 9003
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:24 +0700] "GET /Project/lichSuController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:27:24 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:35:42 +0700] "POST /Project/gioHangController?mg=4 HTTP/1.1" 200 9003
